Timestamp,Media Type,Title,Year,IMDBID,Genre
5/29/2024 8:37:26,VHS,Yakov Smirnoff What a Country!,1994,tt14468512,Comedy
5/29/2024 8:39:32,VHS,Yakov Live from the Grand Palace Tape in Branson Missouri #1,1995,,Comedy
5/29/2024 8:40:22,VHS,"Last Detail, The",1973,tt0070290,"Comedy, Drama"
5/29/2024 8:41:13,VHS,About Schmidt,2002,tt0257360,Drama
5/29/2024 8:42:11,VHS,Mr. Jones,1993,tt0107611,"Drama, Romance"
5/29/2024 8:42:59,VHS,Once Bitten,1985,tt0089730,"Comedy, Horror"
5/29/2024 8:43:44,VHS,Under Siege 2: Dark Territory,1995,tt0114781,"Action, Adventure, Thriller"
5/29/2024 8:44:34,VHS,"Client, The",1994,tt0109446,"Crime, Drama, Mystery"
5/29/2024 8:46:40,VHS,What about Bob?,1991,tt0103241,Comedy
5/29/2024 8:48:07,VHS,"Matchmaker, The",1997,tt0119632,"Comedy, Romance"
5/29/2024 8:49:31,VHS,Mystic River,2003,tt0327056,"Crime, Drama, Mystery"
5/29/2024 8:50:48,VHS,Bird on a Wire,1990,tt0099141,"Action, Comedy, Crime"
5/29/2024 8:52:10,VHS,"Hurricane, The",1999,tt0174856,"Biography, Drama, Sport"
5/29/2024 8:53:02,VHS,Spartan,2004,tt0360009,"Action, Crime, Drama"
5/29/2024 8:53:50,VHS,Femme Fatale,2002,tt0280665,"Crime, Drama, Mystery"
5/29/2024 10:19:59,VHS,"Animal, The",2001,tt0255798,"Comedy, Sci-Fi"
5/29/2024 10:20:59,VHS,Clara's Heart,1988,tt0094882,Drama
5/29/2024 10:22:04,VHS,Galaxy Quest,1999,tt0177789,"Adventure, Comedy, Sci-Fi"
5/29/2024 10:22:53,VHS,Iceman,1984,tt0087452,"Drama, Sci-Fi"
5/29/2024 10:24:37,VHS,"Pink Panther Strikes Again, The",1976,tt0075066,"Comedy, Crime"
5/29/2024 10:26:51,VHS,Diabolique,1996,tt0116095,"Drama, Horror, Mystery"
5/29/2024 10:30:24,VHS,How to Irritate People,1969,tt0063100,"Comedy, Documentary"
5/29/2024 10:31:24,VHS,Deuce Bigalow: Make Gigolo,1999,tt0205000,"Comedy, Romance"
5/29/2024 10:34:17,VHS,Addicted to Love,1997,tt0118556,"Comedy, Romance"
5/29/2024 10:35:36,VHS,"Affair to Remember, An",1957,tt0050105,"Drama, Romance"
5/29/2024 10:39:02,VHS,Adam's Rib,1949,tt0041090,"Comedy, Romance"
5/29/2024 10:41:56,VHS,Africa Screams,,,Comedy
5/29/2024 10:42:38,VHS,"African Queen, The",1951,tt0043265,"Adventure, Drama, Romance"
5/29/2024 10:44:03,VHS,Affliction,1997,tt0118564,"Drama, Mystery, Thriller"
5/29/2024 10:46:04,VHS,Air Force One,1997,tt0118571,"Action, Crime, Drama"
5/29/2024 10:48:25,VHS,Alex & Emma,2003,tt0318283,"Comedy, Romance"
5/29/2024 10:49:28,VHS,Alive,1993,tt0106246,"Biography, Drama, Thriller"
5/29/2024 11:30:06,VHS,007 Tomorrow Never Dies,1997,tt0120347,"Action, Adventure, Thriller"
5/29/2024 11:30:56,VHS,007 The World is not Enough,1999,tt0143145,"Action, Adventure, Thriller"
5/29/2024 11:31:49,VHS,10 Things I Hate About You,1999,tt0147800,"Comedy, Drama, Romance"
5/29/2024 11:32:24,VHS,007 Thunderball,1965,tt0059800,"Action, Adventure, Thriller"
5/29/2024 11:33:16,VHS,007 The Spy Who Loved Me,1977,tt0076752,"Action, Adventure, Thriller"
5/29/2024 11:34:05,VHS,007 On Her Majesty's Secret Service,1969,tt0064757,"Action, Adventure, Thriller"
5/29/2024 12:01:14,VHS,Ace Ventura: Pet Detective,1994,tt0109040,Comedy
5/29/2024 12:02:17,VHS,Ace Ventura: When Nature Calls,1995,tt0112281,"Adventure, Comedy, Crime"
5/29/2024 12:03:23,VHS,Above the Law,1988,tt0094602,"Action, Crime, Drama"
5/29/2024 12:04:27,VHS,9 to 5,1980,tt0080319,Comedy
5/29/2024 12:05:29,VHS,8 Seconds,1994,tt0109021,"Biography, Drama, Sport"
5/29/2024 12:06:19,VHS,"6th Day, The",2000,tt0216216,"Action, Mystery, Sci-Fi"
5/29/2024 12:07:05,VHS,48 Hrs.,1982,tt0083511,"Action, Comedy, Crime"
5/29/2024 12:07:48,VHS,12 Monkeys,1995,tt0114746,"Mystery, Sci-Fi, Thriller"
5/30/2024 6:16:21,VHS,American Beauty,1999,tt0169547,Drama
5/30/2024 6:17:58,VHS,"American in Paris, An",1951,tt0043278,"Drama, Musical, Romance"
5/30/2024 6:18:45,VHS,American Pie,1999,tt0163651,Comedy
5/30/2024 6:19:40,VHS,Analyze That,2002,tt0289848,"Comedy, Crime"
5/30/2024 6:20:24,VHS,Amadeus,1984,tt0086879,"Biography, Drama, Music"
5/30/2024 6:23:53,VHS,America's Sweethearts,2001,tt0265029,"Comedy, Romance"
5/30/2024 8:28:04,VHS,"American President, The",1995,tt0112346,"Comedy, Drama, Romance"
5/30/2024 8:29:06,VHS,American Pie 2,2001,tt0252866,Comedy
5/30/2024 8:30:09,VHS,Annie,1982,tt0083564,"Comedy, Drama, Family, Musical"
5/30/2024 8:31:01,VHS,National Lampoon's Animal House,1978,tt0077975,Comedy
5/30/2024 8:31:46,VHS,Angel Eyes,2001,tt0225071,"Drama, Romance"
5/30/2024 8:33:32,VHS,Monty Python's and Now for Something Completely Different,1971,tt0066765,Comedy
5/30/2024 8:34:28,VHS,Air Bud,1997,tt0118570,"Comedy, Drama, Family"
5/30/2024 8:36:08,VHS,101 Dalmatians 2: Patch's London Adventure,2002,tt0324941,"Adventure, Animation, Comedy"
5/30/2024 8:37:08,VHS,101 Dalmations,1961,tt0055254,"Adventure, Animation, Comedy"
5/30/2024 8:38:34,VHS,"American Tail, An: The Mystery of the Night Monster",1999,tt0197230,"Adventure, Animation, Family"
5/30/2024 8:39:25,VHS,All Dogs Go to Heaven,1989,tt0096787,"Adventure, Animation, Comedy"
5/30/2024 8:40:26,VHS,Aladdin and the King of Thieves,1996,tt0115491,"Adventure, Animation, Comedy"
5/30/2024 8:41:14,VHS,"Aristocats, The",1970,tt0065421,"Adventure, Animation, Comedy"
5/30/2024 8:42:09,VHS,Annabelle's Wish,1997,tt0133372,"Adventure, Animation, Family"
5/30/2024 8:43:01,VHS,Angels in the Outfield,1994,tt0109127,"Comedy, Drama, Family"
5/30/2024 8:46:00,DVD,Alice in Wonderland,1951,tt0043274,"Adventure, Animation, Comedy"
5/30/2024 8:46:41,DVD,8 Mile,2002,tt0298203,"Drama, Music"
5/30/2024 8:47:50,DVD,50 First Dates,2004,tt0343660,"Comedy, Drama, Romance"
5/30/2024 8:48:48,DVD,300,2006,tt0416449,"Action, Drama, War"
5/30/2024 8:49:18,DVD,300,2006,tt0416449,"Action, Drama, War"
5/30/2024 10:47:47,DVD,2001: A Space Odyssey,1968,tt0062622,"Adventure, Sci-Fi"
5/30/2024 10:49:05,DVD,Zero Dark Dirty,2011,tt1288367,"Comedy, Music, Romance"
5/30/2024 10:50:12,DVD,"Aviator, The",2004,tt0338751,"Biography, Drama"
5/30/2024 10:51:04,DVD,Asteroid City,2023,tt14230388,"Comedy, Drama, Romance"
5/30/2024 10:52:04,DVD,Annie,1982,tt0083564,"Comedy, Drama, Family, Musical"
5/30/2024 10:53:35,DVD,Alien vs. Predator,2004,tt0370263,"Action, Adventure, Horror"
5/30/2024 10:57:57,VHS,At First Sight,1999,tt0132512,"Drama, Romance"
5/30/2024 10:59:05,VHS,Armageddon,1998,tt0120591,"Action, Adventure, Sci-Fi"
5/30/2024 10:59:51,VHS,As Good As It Gets,1997,tt0119822,"Comedy, Drama, Romance"
5/30/2024 11:00:45,VHS,Assassins,1995,tt0112401,"Action, Crime, Thriller"
5/30/2024 11:02:37,VHS,Analyze This,1999,tt0122933,"Comedy, Crime"
5/30/2024 11:03:27,VHS,Apollo 13,1995,tt0112384,"Adventure, Drama, History"
5/30/2024 11:06:30,VHS,"Apostle, The",1997,tt0118632,Drama
5/30/2024 11:08:11,VHS,Austin Powers: The Spy Who Shagged Me,1999,tt0145660,"Action, Adventure, Comedy"
5/30/2024 11:09:04,VHS,Austin Powers: International Man of Mystery,1997,tt0118655,"Adventure, Comedy"
5/30/2024 11:09:46,VHS,Awakenings,1990,tt0099077,"Biography, Drama"
5/30/2024 12:11:43,VHS,Saturday Night Live: The Best of Chris Farley,2000,tt0500100,"Comedy, Documentary"
5/30/2024 12:12:25,VHS,Battle of the Bulge,1965,tt0058947,"Drama, History, War"
5/30/2024 12:13:12,VHS,Batman Returns,1992,tt0103776,"Action, Crime, Fantasy"
5/30/2024 12:14:06,VHS,Basic Instinct,1992,tt0103772,"Drama, Mystery, Thriller"
5/30/2024 12:15:06,VHS,Barefoot in the Park,1967,tt0061385,"Comedy, Romance"
5/30/2024 12:16:18,VHS,Ben-Hur,1959,tt0052618,"Adventure, Drama"
5/30/2024 12:17:39,VHS,Bad Boys,1995,tt0112442,"Action, Comedy, Crime"
5/30/2024 12:18:31,VHS,"Bachelor, The",1999,tt0120596,"Comedy, Romance"
5/30/2024 12:19:16,VHS,Backdraft,1991,tt0101393,"Action, Drama, Mystery"
5/30/2024 12:21:13,VHS,"Baby-Sitters Club Video #1, The: Mary Anne and the Brunettes",1990,,Family
5/30/2024 12:22:22,VHS,Bells of San Angelo,1947,tt0039180,"Drama, Music, Western"
5/30/2024 12:23:17,VHS,Before Sunrise,1995,tt0112471,"Drama, Romance"
5/30/2024 12:24:13,VHS,Beethoven's 2nd,1993,tt0106375,"Comedy, Family, Romance"
5/30/2024 12:24:51,VHS,Beethoven,1992,tt0103786,"Comedy, Drama, Family"
5/30/2024 12:25:48,VHS,Behind the Waterfall,1995,tt0112473,"Drama, Fantasy"
5/30/2024 12:27:25,VHS,"Big Red One, The",1980,tt0080437,"Drama, War"
5/30/2024 12:28:25,VHS,"Big Trees, The",1952,tt0044420,"Drama, Western"
5/30/2024 12:29:19,VHS,Bill Cosby: 49,1987,tt0092658,"Comedy, Documentary"
5/30/2024 12:30:07,VHS,Beaches,1988,tt0094715,"Comedy, Drama, Music"
5/30/2024 12:31:08,VHS,"Beautiful Mind, A",2001,tt0268978,"Biography, Drama, Mystery"
5/30/2024 12:32:13,VHS,Big Night,1996,tt0115678,"Drama, Romance"
5/30/2024 12:33:01,VHS,Beverly Hills Copy III,1994,,"Action, Comedy, Crime"
5/30/2024 12:34:08,VHS,Big Business,1988,tt0094739,Comedy
5/30/2024 12:34:57,VHS,"Big Chill, The",1983,tt0085244,"Comedy, Drama"
5/30/2024 12:35:42,VHS,Big Jake,1971,tt0066831,"Drama, Western"
5/30/2024 12:36:51,VHS,"Bible in the Beginning..., The",1966,tt0060164,"Drama, Family"
5/30/2024 12:37:52,DVD,Barbie,2023,tt1517268,"Adventure, Comedy, Fantasy"
5/30/2024 12:38:42,DVD,Batman Forever,1995,tt0112462,"Action, Adventure"
6/1/2024 8:22:39,VHS,"Bug's Life, A",1998,tt0120623,"Adventure, Animation, Comedy"
6/1/2024 8:23:28,VHS,Bedknobs and Broomsticks,1971,tt0066817,"Adventure, Animation, Comedy"
6/1/2024 8:24:34,VHS,Beauty and the Beast,1991,tt0101414,"Animation, Family, Fantasy"
6/1/2024 8:25:08,VHS,Beauty and the Beast,1991,tt0101414,"Animation, Family, Fantasy"
6/1/2024 8:26:01,VHS,Barbie as Rapunzel,2002,tt0313255,"Animation, Family, Fantasy"
6/1/2024 8:26:43,VHS,Barbie as the Princess and the Pauper,2004,,"Animation, Comedy, Family"
6/1/2024 8:27:35,VHS,Bambi,1942,tt0034492,"Adventure, Animation, Drama"
6/1/2024 8:28:27,VHS,"Baby, Take a Bow",1934,tt0024854,"Comedy, Drama, Music"
6/1/2024 8:29:17,VHS,Babe: Pig in the City,1998,tt0120595,"Adventure, Comedy, Drama"
6/1/2024 8:29:54,VHS,Babe,1995,tt0112431,"Comedy, Drama, Family"
6/1/2024 8:30:19,VHS,Babe,1995,tt0112431,"Comedy, Drama, Family"
6/1/2024 8:31:00,VHS,Blow,2001,tt0221027,"Biography, Crime, Drama"
6/1/2024 8:34:39,VHS,Bingo,1991,tt0101455,"Adventure, Comedy, Family"
6/1/2024 8:35:13,VHS,Blue Thunder,1983,,"Action, Crime, Drama"
6/1/2024 8:36:02,VHS,Blast from the Past,1999,tt0124298,"Comedy, Drama, Romance"
6/1/2024 8:36:48,VHS,Black Dog,1998,tt0120610,"Action, Crime, Drama"
6/1/2024 8:37:34,VHS,"Blair Witch Project, The",1999,tt0185937,"Horror, Mystery"
6/1/2024 8:38:22,VHS,"Bishop's Wife, The",1947,tt0039190,"Comedy, Drama, Fantasy"
6/1/2024 8:39:02,VHS,Braveheart,1995,tt0112573,"Biography, Drama, War"
6/1/2024 8:39:46,VHS,Bowfinger,1999,tt0131325,Comedy
6/1/2024 8:40:42,VHS,"Bride of Frankenstein, The",1935,tt0026138,"Drama, Horror, Sci-Fi"
6/1/2024 8:41:43,VHS,Bill Cosby: Himself,1983,tt0083652,"Comedy, Documentary"
6/1/2024 8:43:40,VHS,"Bob Newheart Show, The: Volume 1 Double Episode",1972,tt0068049,Comedy
6/1/2024 8:44:26,VHS,"Bodyguard, The",1992,tt0103855,"Action, Drama, Music"
6/1/2024 8:45:39,VHS,Body of Evidence,1992,tt0106453,"Drama, Thriller"
6/1/2024 8:46:25,VHS,"Bone Collector, The",1999,tt0145681,"Crime, Drama, Mystery"
6/1/2024 8:47:12,VHS,Bonnie and Clyde,1967,tt0061418,"Action, Biography, Crime"
6/1/2024 8:47:46,VHS,Boot Hill,1969,tt0064175,"Comedy, Western"
6/1/2024 8:48:27,VHS,"Bourne Identity, The",2002,tt0258463,"Action, Mystery, Thriller"
6/1/2024 8:49:55,VHS,Bull Durham,1988,tt0094812,"Comedy, Romance, Sport"
6/1/2024 8:50:52,VHS,Breakfast at Tiffany's,1961,tt0054698,"Comedy, Drama, Romance"
6/1/2024 8:51:54,VHS,Bring it On,2000,tt0204946,"Comedy, Romance, Sport"
6/1/2024 8:52:40,VHS,Broken Arrow,1996,tt0115759,"Action, Adventure, Thriller"
6/1/2024 8:53:26,VHS,"Brothers McMullen, The",1995,tt0112585,"Comedy, Drama, Romance"
6/1/2024 8:54:05,VHS,Bye Bye Love,1995,tt0112606,"Comedy, Drama, Romance"
6/1/2024 8:54:57,VHS,Bulletproof,1996,tt0115783,"Action, Comedy, Crime"
6/1/2024 8:55:56,VHS,Busted,1998,tt0150488,"Crime, Drama"
6/1/2024 8:56:45,VHS,Bridges of Madison County,1995,tt0112579,"Drama, Romance"
6/1/2024 8:57:48,VHS,Bridget Jones's Diary,2001,tt0243155,"Comedy, Drama, Romance"
6/1/2024 8:59:12,DVD,Batman Complete Original Series,1966,tt0059968,"Action, Crime, Fantasy"
6/1/2024 8:59:56,DVD,Breakfast at Tiffany's,1961,tt0054698,"Comedy, Drama, Romance"
6/1/2024 9:00:35,DVD,Big,1988,tt0094737,"Comedy, Drama, Fantasy"
6/1/2024 9:01:14,DVD,Black Dawn,2005,tt0443450,Action
6/1/2024 9:01:58,DVD,"Breakfast Club, The",1985,tt0088847,"Comedy, Drama"
6/1/2024 9:02:50,DVD,"Blood In, Blood Out",1993,tt0106469,"Crime, Drama"
6/1/2024 9:03:42,DVD,"Blues Brothers, The",1980,tt0080455,"Action, Adventure, Comedy"
6/1/2024 9:04:35,DVD,Bridesmaids,2011,tt1478338,Comedy
6/1/2024 9:05:55,DVD,*batteries not included,1987,tt0092494,"Comedy, Family, Fantasy"
6/1/2024 9:06:40,DVD,Batman: The Movie,1966,tt0060153,"Action, Adventure, Comedy"
6/1/2024 9:07:24,DVD,Batman & Robin,1997,tt0118688,"Action, Sci-Fi"
6/1/2024 9:08:40,DVD,"Black 6, The",1973,tt0071227,"Action, Drama"
6/1/2024 9:09:19,DVD,Beetlejuice,1988,tt0094721,"Comedy, Fantasy"
6/1/2024 9:10:12,DVD,Benji's Very Own Christmas Story,1978,tt0275225,Family
6/1/2024 9:10:59,DVD,Because of Winn-Dixie,2005,tt0317132,"Comedy, Drama, Family"
6/2/2024 16:28:06,VHS,Con Air,1997,tt0118880,"Action, Crime, Thriller"
6/2/2024 16:28:38,VHS,"Civil Action, A",1998,tt0120633,"Biography, Drama"
6/2/2024 16:29:20,VHS,Class Action,1991,tt0101590,"Drama, Thriller"
6/2/2024 16:30:16,VHS,City Slickers,1991,tt0101587,"Comedy, Western"
6/2/2024 16:30:57,VHS,City Heat,1984,tt0087062,"Action, Comedy, Crime"
6/2/2024 16:31:48,VHS,National Lampoon's Christmas Vacation,1989,tt0097958,Comedy
6/2/2024 16:32:36,VHS,"Cider House Rules, The",1999,tt0124315,"Drama, Romance"
6/2/2024 16:34:01,VHS,Columbo: Prescription: Murder,1968,tt0061496,"Crime, Drama, Mystery"
6/2/2024 16:35:25,VHS,Columbo: Death Lends a Hand,1971,tt0068397,"Crime, Drama, Mystery"
6/2/2024 16:36:08,VHS,"Charlie Brown Thanksgiving, A",1973,tt0068359,"Animation, Comedy"
6/2/2024 16:37:07,VHS,Cinderella II: Dreams Come True,2002,tt0291082,"Animation, Family, Fantasy"
6/2/2024 16:37:57,VHS,Cinerella,1950,tt0042332,"Animation, Family, Fantasy"
6/2/2024 16:38:44,VHS,"Christmas Carol, A",1984,tt0087056,"Drama, Family, Fantasy"
6/2/2024 16:39:39,VHS,Chicken Run,2000,tt0120630,"Adventure, Animation, Comedy"
6/2/2024 16:40:27,VHS,Casper,1995,tt0112642,"Comedy, Family, Fantasy"
6/2/2024 16:40:44,VHS,Casper,1995,tt0112642,"Comedy, Family, Fantasy"
6/2/2024 16:41:02,VHS,Casper,1995,tt0112642,"Comedy, Family, Fantasy"
6/2/2024 16:42:12,VHS,Camelot,1967,tt0061439,"Adventure, Comedy, Drama"
6/2/2024 16:43:15,VHS,Carlito's Way,1993,tt0106519,"Crime, Drama, Thriller"
6/2/2024 16:44:03,VHS,Carousel,1956,tt0049055,"Drama, Fantasy, Musical"
6/2/2024 16:44:46,VHS,Casablanca,1942,tt0034583,"Drama, Romance, War"
6/2/2024 16:45:47,VHS,"Cat from Outer Space, The",1978,tt0077305,"Comedy, Family, Sci-Fi"
6/2/2024 16:46:54,VHS,Chocolat,2000,tt0241303,"Drama, Romance"
6/2/2024 16:47:47,VHS,"Christmas Carol, A",1951,tt0044008,"Drama, Family, Fantasy"
6/2/2024 16:48:34,VHS,"Cell, The",2000,tt0209958,"Crime, Horror, Sci-Fi"
6/2/2024 16:49:07,VHS,"Cell, The",2000,tt0209958,"Crime, Horror, Sci-Fi"
6/2/2024 16:49:52,VHS,Charade,1963,tt0056923,"Comedy, Mystery, Romance"
6/2/2024 16:50:35,VHS,Charlie Chan at the Opera,1936,tt0027440,Mystery
6/2/2024 16:51:43,VHS,Cliffhanger,1993,tt0106582,"Action, Adventure, Thriller"
6/2/2024 16:52:34,VHS,Clear and Present Danger,1994,tt0109444,"Action, Crime, Drama"
6/2/2024 16:52:57,VHS,Clear and Present Danger,1994,tt0109444,"Action, Crime, Drama"
6/2/2024 16:53:35,VHS,Clue,1985,tt0088930,"Comedy, Crime, Mystery"
6/2/2024 16:54:15,VHS,command decision,1948,tt0040242,"Action, Drama, War"
6/2/2024 16:55:39,VHS,Collateral Damage,2002,tt0233469,"Action, Drama, Thriller"
6/2/2024 16:58:59,VHS,"Christmas Story, A",1983,tt0085334,"Comedy, Family"
6/2/2024 16:59:36,VHS,Christmas in Connecticut,1945,tt0037595,"Comedy, Romance"
6/2/2024 17:00:19,VHS,Chitty Chitty Bang Bang,1968,tt0062803,"Action, Family, Fantasy"
6/2/2024 17:01:04,VHS,Children of a Lesser God,1986,,"Drama, Romance"
6/2/2024 17:01:48,VHS,Charlotte's Web,1973,tt0070016,"Adventure, Animation, Drama"
6/2/2024 17:02:45,VHS,Charlie Chan in Rio,1941,tt0033458,"Crime, Mystery"
6/2/2024 17:03:33,VHS,Cocktail,1988,tt0094889,"Comedy, Drama, Romance"
6/2/2024 17:04:21,VHS,Clueless,1995,tt0112697,"Comedy, Romance"
6/2/2024 17:05:24,VHS,Crocodile Dundee II,1988,tt0092493,"Action, Adventure, Comedy"
6/2/2024 17:06:20,VHS,"Crouching Tiger, Hidden Dragon",2000,tt0190332,"Action, Adventure, Drama"
6/2/2024 17:07:12,VHS,"Crow, The",1994,tt0109506,"Action, Crime, Drama"
6/2/2024 17:08:26,VHS,"Crazy Streets (Forever, Lulu)",1986,tt0093042,"Comedy, Crime, Drama"
6/10/2024 10:57:54,DVD,Creed,2015,tt3076658,"Action, Drama, Sport"
